Date,Review,Rating,Product,District
02/01/2015,Rising bad financial advice rude customer service unhelpful staff limited services long wait times.,1,Mortgage,39
02/01/2015,Helped Me In A Case Of Fraud fast transactions friendly staff where i lost my PIN worried about fraud but worried about fraud but helped me in a case of fraud.,5,Online Services,50
02/01/2015,Responded Quick where i lost my PIN competitive rates responded quick where i lost my PIN secure from fraud wide range of services helped me in a case of fraud.,5,Online Services,17
02/01/2015,Fast Transactions fast transactions worried about fraud but competitive rates secure from fraud secure from fraud helpful customer service.,5,Online Services,58
02/01/2015,Wide Range Of Services helped me in a case of fraud worried about fraud but secure from fraud competitive rates.,5,Online Services,7
02/01/2015,Efficient secure from fraud where i lost my PIN.,5,Online Services,5
02/01/2015,Responded Quick helped me in a case of fraud friendly staff waved fees easy online banking wide range of services worried about fraud but fast transactions.,5,Online Services,43
02/01/2015,Bad Advice soo frustrating!strange WHY!? what happened to this bank?? additional charges soo frustrating!strange.,1,Online Services,4
02/01/2015,Frustrating long wait times bad advice complicated to figure out rude customer service error kept cropping up limited services.,1,Online Services,52
02/01/2015,To Frustrate Me rude customer service the worst what happened to this bank?? not great error the worst long wait times.,1,Online Services,46
02/01/2015,Error Kept Cropping Up WHY!? error kept cropping up long wait times what happened to this bank??.,1,Online Services,53
02/01/2015,Slow Transactions not great to frustrate me complicated to figure out error error to frustrate me.,1,Online Services,62
02/01/2015,Frustrating complicated online banking rude customer service error additional charges error kept cropping up frustrating slow transactions.,1,Online Services,15
02/01/2015,Why!? long wait times additional charges error poor interest rates additional charges.,1,Online Services,48
02/01/2015,Long Wait Times long wait times limited services the worst not great the worst.,1,Online Services,29
02/01/2015,"Slow Transactions limited services complicated online banking not great lost my details, staff were so unhelpful complicated to figure out.",1,Online Services,17
03/01/2015,Terrible Manager i hope youre proud of yourselves!! limited services distressed by this poor interest rates insecure distressed by this.,1,Mortgage,12
03/01/2015,Secure From Fraud wide range of services stable interest rate easy online banking.,5,Online Services,32
03/01/2015,Helpful Customer Service competitive rates responded quick responded quick where i lost my PIN.,5,Online Services,10
03/01/2015,Easy Online Banking fast transactions secure from fraud competitive rates helpful customer service friendly staff helped me in a case of fraud where i lost my PIN.,5,Online Services,43
03/01/2015,Secure From Fraud easy online banking secure from fraud secure from fraud stable interest rate easy online banking.,5,Online Services,62
03/01/2015,Stable Interest Rate stable interest rate stable interest rate fast transactions easy online banking responded quick where i lost my PIN secure from fraud.,5,Online Services,68
03/01/2015,Efficient helpful customer service secure from fraud efficient efficient easy online banking friendly staff where i lost my PIN.,5,Online Services,63
03/01/2015,Secure From Fraud secure from fraud efficient wide range of services waved fees.,5,Online Services,50
03/01/2015,Where I Lost My Pin stable interest rate stable interest rate helpful customer service.,5,Online Services,63
03/01/2015,Helped Me In A Case Of Fraud secure from fraud competitive rates fast transactions wide range of services friendly staff helpful customer service.,5,Online Services,13
03/01/2015,Secure From Fraud secure from fraud secure from fraud helped me in a case of fraud wide range of services efficient.,5,Online Services,11
03/01/2015,Waved Fees where i lost my PIN competitive rates.,5,Online Services,30
03/01/2015,Helpful Customer Service competitive rates worried about fraud but friendly staff where i lost my PIN wide range of services.,5,Online Services,52
03/01/2015,Where I Lost My Pin where i lost my PIN helpful customer service responded quick helpful customer service secure from fraud secure from fraud.,5,Online Services,47
03/01/2015,Helpful Customer Service helped me in a case of fraud responded quick responded quick helped me in a case of fraud waved fees.,5,Online Services,30
03/01/2015,Friendly Staff responded quick stable interest rate stable interest rate.,5,Online Services,48
03/01/2015,Fast Transactions friendly staff waved fees friendly staff friendly staff helpful customer service where i lost my PIN.,5,Online Services,17
03/01/2015,"Lost My Details, Staff Were So Unhelpful frustrating complicated to figure out error WHY!?.",1,Online Services,40
03/01/2015,Slow Transactions what happened to this bank?? bad advice not great what happened to this bank??.,1,Online Services,72
03/01/2015,Long Wait Times long wait times bad advice bad advice complicated to figure out.,1,Online Services,65
03/01/2015,Error complicated online banking bad advice bad advice.,1,Online Services,26
03/01/2015,Complicated To Figure Out poor interest rates frustrating error.,1,Online Services,2
03/01/2015,To Frustrate Me complicated online banking additional charges to frustrate me frustrating poor interest rates limited services.,1,Online Services,45
03/01/2015,"Error additional charges long wait times lost my details, staff were so unhelpful to frustrate me soo frustrating!strange.",1,Online Services,76
03/01/2015,"Lost My Details, Staff Were So Unhelpful error to frustrate me soo frustrating!strange to frustrate me.",1,Online Services,35
03/01/2015,Additional Charges long wait times complicated to figure out the worst not great error.,1,Online Services,42
04/01/2015,Remortgaged easy online banking friendly staff easy online banking stressed at first tho.,5,Mortgage,36
04/01/2015,Slow Transactions what happened slow transactions fees additional charges limited services distressed by this limited services.,1,Mortgage,66
04/01/2015,Limited Services long wait times not great unhelpful staff i hope youre proud of yourselves!! distressed by this.,1,Mortgage,71
04/01/2015,High Fees insecure my mum what happened fees my mum slow transactions.,1,Mortgage,63
04/01/2015,Helped Me In A Case Of Fraud wide range of services competitive rates friendly staff friendly staff.,5,Online Services,18
04/01/2015,Friendly Staff helped me in a case of fraud where i lost my PIN fast transactions worried about fraud but.,5,Online Services,25
04/01/2015,Wide Range Of Services stable interest rate responded quick wide range of services.,5,Online Services,68
04/01/2015,Where I Lost My Pin efficient helpful customer service friendly staff.,5,Online Services,24
04/01/2015,Fast Transactions helped me in a case of fraud stable interest rate helpful customer service fast transactions.,5,Online Services,3
04/01/2015,Responded Quick responded quick secure from fraud easy online banking friendly staff waved fees worried about fraud but.,5,Online Services,71
04/01/2015,Stable Interest Rate competitive rates friendly staff efficient worried about fraud but fast transactions helped me in a case of fraud.,5,Online Services,38
04/01/2015,Stable Interest Rate where i lost my PIN competitive rates.,5,Online Services,56
04/01/2015,Where I Lost My Pin waved fees stable interest rate where i lost my PIN.,5,Online Services,59
04/01/2015,Easy Online Banking waved fees responded quick worried about fraud but.,5,Online Services,15
04/01/2015,Rude Customer Service frustrating the worst rude customer service limited services additional charges error.,1,Online Services,29
04/01/2015,Error Kept Cropping Up the worst error kept cropping up complicated to figure out frustrating what happened to this bank?? the worst.,1,Online Services,9
04/01/2015,Long Wait Times error kept cropping up error.,1,Online Services,27
04/01/2015,What Happened To This Bank?? frustrating rude customer service not great poor interest rates not great frustrating what happened to this bank??.,1,Online Services,27
04/01/2015,"Complicated To Figure Out lost my details, staff were so unhelpful additional charges additional charges.",1,Online Services,61
04/01/2015,"Complicated To Figure Out additional charges lost my details, staff were so unhelpful WHY!?.",1,Online Services,31
04/01/2015,"Complicated To Figure Out lost my details, staff were so unhelpful error kept cropping up.",1,Online Services,47
04/01/2015,Why!? long wait times additional charges.,1,Online Services,17
04/01/2015,"Frustrating lost my details, staff were so unhelpful additional charges the worst.",1,Online Services,40
04/01/2015,Long Wait Times the worst error kept cropping up soo frustrating!strange additional charges.,1,Online Services,76
05/01/2015,Not Bad friendly staff competitive rates Thank you! fast transactions very good waved fees.,5,Mortgage,14
05/01/2015,"Reliable, wide range of services stressed at first tho not bad easy online banking.",5,Mortgage,6
05/01/2015,I Hope Youre Proud Of Yourselves!! additional charges not great bad financial advice additional charges rising.,1,Mortgage,39
05/01/2015,Fast Transactions wide range of services waved fees waved fees stable interest rate stable interest rate.,5,Online Services,27
05/01/2015,Waved Fees where i lost my PIN worried about fraud but competitive rates stable interest rate easy online banking stable interest rate.,5,Online Services,17
05/01/2015,Fast Transactions fast transactions fast transactions easy online banking.,5,Online Services,63
05/01/2015,Responded Quick worried about fraud but stable interest rate waved fees helped me in a case of fraud.,5,Online Services,47
05/01/2015,Competitive Rates wide range of services easy online banking easy online banking wide range of services fast transactions where i lost my PIN.,5,Online Services,41
05/01/2015,Helpful Customer Service secure from fraud efficient easy online banking worried about fraud but responded quick stable interest rate.,5,Online Services,22
05/01/2015,Responded Quick efficient wide range of services wide range of services helpful customer service competitive rates friendly staff.,5,Online Services,57
05/01/2015,Waved Fees helped me in a case of fraud responded quick friendly staff helped me in a case of fraud efficient competitive rates.,5,Online Services,49
05/01/2015,Helpful Customer Service worried about fraud but wide range of services secure from fraud friendly staff.,5,Online Services,74
05/01/2015,Competitive Rates wide range of services competitive rates responded quick worried about fraud but friendly staff responded quick secure from fraud.,5,Online Services,3
05/01/2015,Helpful Customer Service fast transactions competitive rates worried about fraud but where i lost my PIN secure from fraud waved fees.,5,Online Services,11
05/01/2015,Wide Range Of Services helpful customer service worried about fraud but efficient stable interest rate.,5,Online Services,50
05/01/2015,Helped Me In A Case Of Fraud wide range of services stable interest rate stable interest rate responded quick fast transactions secure from fraud helpful customer service.,5,Online Services,65
05/01/2015,Efficient waved fees stable interest rate.,5,Online Services,27
05/01/2015,Wide Range Of Services responded quick friendly staff efficient worried about fraud but fast transactions helpful customer service waved fees.,5,Online Services,28
05/01/2015,Helpful Customer Service wide range of services secure from fraud fast transactions secure from fraud.,5,Online Services,56
05/01/2015,Waved Fees worried about fraud but worried about fraud but secure from fraud responded quick helped me in a case of fraud.,5,Online Services,44
05/01/2015,Bad Advice the worst slow transactions bad advice.,1,Online Services,11
05/01/2015,Not Great frustrating complicated to figure out long wait times.,1,Online Services,35
05/01/2015,What Happened To This Bank?? complicated online banking the worst not great poor interest rates complicated to figure out.,1,Online Services,20
05/01/2015,Bad Advice long wait times not great error.,1,Online Services,35
05/01/2015,Bad Advice WHY!? complicated to figure out poor interest rates complicated to figure out WHY!?.,1,Online Services,49
05/01/2015,Complicated Online Banking long wait times the worst bad advice WHY!? additional charges frustrating soo frustrating!strange.,1,Online Services,51
05/01/2015,The Worst additional charges error kept cropping up limited services what happened to this bank?? what happened to this bank??.,1,Online Services,9
05/01/2015,Error Kept Cropping Up poor interest rates WHY!?.,1,Online Services,69
05/01/2015,"Error what happened to this bank?? complicated to figure out soo frustrating!strange error lost my details, staff were so unhelpful.",1,Online Services,4
05/01/2015,Additional Charges frustrating bad advice not great what happened to this bank?? what happened to this bank?? WHY!? rude customer service.,1,Online Services,45
06/01/2015,Friendly Staff fast transactions fast transactions friendly staff wide range of services stable interest rate.,5,Online Services,11
06/01/2015,Secure From Fraud wide range of services stable interest rate helpful customer service competitive rates responded quick easy online banking friendly staff.,5,Online Services,31
06/01/2015,Where I Lost My Pin waved fees stable interest rate competitive rates fast transactions secure from fraud helped me in a case of fraud wide range of services.,5,Online Services,13
06/01/2015,Helped Me In A Case Of Fraud where i lost my PIN friendly staff worried about fraud but friendly staff helped me in a case of fraud waved fees.,5,Online Services,6
06/01/2015,Worried About Fraud But where i lost my PIN fast transactions responded quick responded quick worried about fraud but.,5,Online Services,41
06/01/2015,Easy Online Banking waved fees waved fees wide range of services secure from fraud.,5,Online Services,39
06/01/2015,Responded Quick efficient competitive rates waved fees stable interest rate easy online banking stable interest rate.,5,Online Services,62
06/01/2015,Worried About Fraud But friendly staff efficient efficient helped me in a case of fraud fast transactions.,5,Online Services,52
06/01/2015,Stable Interest Rate easy online banking stable interest rate helpful customer service friendly staff friendly staff.,5,Online Services,38
06/01/2015,Waved Fees secure from fraud helpful customer service waved fees helpful customer service helped me in a case of fraud easy online banking.,5,Online Services,49
06/01/2015,"Complicated Online Banking rude customer service the worst lost my details, staff were so unhelpful not great.",1,Online Services,69
06/01/2015,Complicated Online Banking what happened to this bank?? limited services poor interest rates error.,1,Online Services,25
06/01/2015,Limited Services long wait times bad advice complicated to figure out poor interest rates additional charges.,1,Online Services,74
06/01/2015,"Frustrating complicated to figure out frustrating lost my details, staff were so unhelpful error rude customer service.",1,Online Services,72
06/01/2015,Not Great limited services the worst soo frustrating!strange frustrating.,1,Online Services,60
06/01/2015,Poor Interest Rates not great not great slow transactions what happened to this bank??.,1,Online Services,75
07/01/2015,Remortgaged very good easy online banking easy online banking waved fees stressed at first tho.,5,Mortgage,16
07/01/2015,"Competitive Rates reliable, waved fees helpful customer service.",5,Mortgage,54
07/01/2015,Efficient competitive rates waved fees.,5,Online Services,64
07/01/2015,Helpful Customer Service responded quick wide range of services.,5,Online Services,1
07/01/2015,Efficient friendly staff wide range of services where i lost my PIN where i lost my PIN.,5,Online Services,24
07/01/2015,Responded Quick helpful customer service waved fees competitive rates helped me in a case of fraud fast transactions stable interest rate.,5,Online Services,55
07/01/2015,Easy Online Banking competitive rates friendly staff easy online banking responded quick.,5,Online Services,47
07/01/2015,Stable Interest Rate wide range of services helpful customer service friendly staff helpful customer service fast transactions.,5,Online Services,31
07/01/2015,Competitive Rates easy online banking competitive rates easy online banking easy online banking secure from fraud efficient.,5,Online Services,7
07/01/2015,Efficient competitive rates efficient fast transactions where i lost my PIN secure from fraud friendly staff.,5,Online Services,75
07/01/2015,Competitive Rates helpful customer service where i lost my PIN secure from fraud efficient.,5,Online Services,64
07/01/2015,Efficient secure from fraud friendly staff helped me in a case of fraud.,5,Online Services,18
07/01/2015,Rude Customer Service soo frustrating!strange rude customer service poor interest rates slow transactions.,1,Online Services,1
07/01/2015,"Why!? limited services error poor interest rates error kept cropping up bad advice lost my details, staff were so unhelpful.",1,Online Services,52
07/01/2015,What Happened To This Bank?? complicated online banking error.,1,Online Services,61
08/01/2015,Efficient responded quick competitive rates waved fees.,5,Online Services,9
08/01/2015,Wide Range Of Services easy online banking friendly staff competitive rates easy online banking worried about fraud but.,5,Online Services,15
08/01/2015,Helpful Customer Service helped me in a case of fraud easy online banking friendly staff competitive rates waved fees.,5,Online Services,76
08/01/2015,Helpful Customer Service responded quick competitive rates worried about fraud but helpful customer service.,5,Online Services,64
08/01/2015,Easy Online Banking secure from fraud responded quick worried about fraud but.,5,Online Services,36
08/01/2015,Wide Range Of Services waved fees secure from fraud.,5,Online Services,58
08/01/2015,Stable Interest Rate responded quick efficient responded quick secure from fraud wide range of services wide range of services.,5,Online Services,47
08/01/2015,Worried About Fraud But stable interest rate helped me in a case of fraud helped me in a case of fraud where i lost my PIN.,5,Online Services,73
08/01/2015,Secure From Fraud efficient efficient stable interest rate where i lost my PIN secure from fraud efficient.,5,Online Services,55
08/01/2015,Error Kept Cropping Up bad advice error kept cropping up complicated to figure out limited services.,1,Online Services,74
08/01/2015,Error Kept Cropping Up not great additional charges.,1,Online Services,65
08/01/2015,Rude Customer Service frustrating error slow transactions.,1,Online Services,39
08/01/2015,"The Worst the worst bad advice complicated to figure out poor interest rates lost my details, staff were so unhelpful.",1,Online Services,9
08/01/2015,"Complicated To Figure Out additional charges error rude customer service to frustrate me additional charges lost my details, staff were so unhelpful.",1,Online Services,38
08/01/2015,Error limited services poor interest rates the worst limited services bad advice.,1,Online Services,51
08/01/2015,To Frustrate Me additional charges additional charges to frustrate me.,1,Online Services,38
08/01/2015,To Frustrate Me slow transactions rude customer service soo frustrating!strange frustrating rude customer service.,1,Online Services,65
08/01/2015,Frustrating rude customer service rude customer service error complicated online banking rude customer service error kept cropping up.,1,Online Services,1
08/01/2015,Rude Customer Service soo frustrating!strange what happened to this bank?? error WHY!? slow transactions frustrating.,1,Online Services,22
08/01/2015,Bad Advice rude customer service bad advice to frustrate me frustrating the worst rude customer service slow transactions.,1,Online Services,51
08/01/2015,"The Worst error lost my details, staff were so unhelpful error.",1,Online Services,5
08/01/2015,Limited Services the worst slow transactions additional charges WHY!? complicated to figure out.,1,Online Services,28
08/01/2015,The Worst not great frustrating what happened to this bank?? frustrating complicated online banking.,1,Online Services,16
09/01/2015,Thank You! worried but got really helpful advise on remorgaging easy online banking.,5,Mortgage,9
09/01/2015,Thank You! fast transactions worried but got really helpful advise on remorgaging remortgaged competitive rates.,5,Mortgage,29
09/01/2015,Not Great additional charges rising terrible manager unhelpful staff insecure.,1,Mortgage,39
09/01/2015,Friendly Staff helpful customer service stable interest rate worried about fraud but wide range of services wide range of services.,5,Online Services,15
09/01/2015,Easy Online Banking wide range of services helped me in a case of fraud.,5,Online Services,71
09/01/2015,Waved Fees friendly staff fast transactions waved fees competitive rates stable interest rate efficient helped me in a case of fraud.,5,Online Services,74
09/01/2015,Wide Range Of Services helped me in a case of fraud waved fees wide range of services waved fees worried about fraud but.,5,Online Services,27
09/01/2015,Responded Quick efficient waved fees worried about fraud but friendly staff fast transactions waved fees worried about fraud but.,5,Online Services,44
09/01/2015,Helped Me In A Case Of Fraud friendly staff helped me in a case of fraud friendly staff efficient helped me in a case of fraud.,5,Online Services,35
09/01/2015,Stable Interest Rate fast transactions waved fees fast transactions wide range of services.,5,Online Services,60
09/01/2015,Efficient wide range of services helped me in a case of fraud friendly staff efficient stable interest rate competitive rates.,5,Online Services,75
09/01/2015,Fast Transactions wide range of services helped me in a case of fraud secure from fraud stable interest rate responded quick.,5,Online Services,66
09/01/2015,Helpful Customer Service helped me in a case of fraud responded quick fast transactions responded quick.,5,Online Services,74
09/01/2015,Helpful Customer Service secure from fraud waved fees fast transactions.,5,Online Services,63
09/01/2015,Waved Fees waved fees fast transactions fast transactions worried about fraud but stable interest rate fast transactions.,5,Online Services,49
09/01/2015,Helpful Customer Service friendly staff stable interest rate competitive rates.,5,Online Services,61
09/01/2015,Where I Lost My Pin waved fees responded quick.,5,Online Services,41
09/01/2015,Helpful Customer Service friendly staff competitive rates friendly staff helped me in a case of fraud.,5,Online Services,4
09/01/2015,Easy Online Banking fast transactions fast transactions efficient helped me in a case of fraud helpful customer service.,5,Online Services,57
09/01/2015,Worried About Fraud But easy online banking waved fees competitive rates.,5,Online Services,26
09/01/2015,Efficient responded quick efficient responded quick efficient fast transactions fast transactions secure from fraud.,5,Online Services,48
09/01/2015,Helped Me In A Case Of Fraud waved fees helpful customer service stable interest rate.,5,Online Services,12
09/01/2015,Not Great limited services frustrating rude customer service complicated to figure out.,1,Online Services,51
09/01/2015,Soo Frustrating!Strange error kept cropping up additional charges additional charges.,1,Online Services,53
09/01/2015,Long Wait Times additional charges poor interest rates bad advice error the worst.,1,Online Services,16
09/01/2015,"Slow Transactions frustrating additional charges error kept cropping up lost my details, staff were so unhelpful.",1,Online Services,31
09/01/2015,"Soo Frustrating!Strange not great long wait times additional charges lost my details, staff were so unhelpful lost my details, staff were so unhelpful soo frustrating!strange.",1,Online Services,17
09/01/2015,"Why!? bad advice complicated to figure out lost my details, staff were so unhelpful error.",1,Online Services,59
09/01/2015,Not Great WHY!? limited services not great what happened to this bank??.,1,Online Services,51
10/01/2015,With Ease friendly staff waved fees not bad.,5,Mortgage,29
10/01/2015,Efficient where i lost my PIN efficient.,5,Online Services,57
10/01/2015,Competitive Rates waved fees friendly staff efficient competitive rates.,5,Online Services,10
10/01/2015,Friendly Staff easy online banking secure from fraud easy online banking friendly staff.,5,Online Services,72
10/01/2015,Easy Online Banking helped me in a case of fraud stable interest rate where i lost my PIN secure from fraud competitive rates friendly staff.,5,Online Services,17
10/01/2015,Wide Range Of Services waved fees helped me in a case of fraud responded quick where i lost my PIN easy online banking competitive rates.,5,Online Services,6
10/01/2015,Friendly Staff competitive rates secure from fraud helpful customer service worried about fraud but worried about fraud but.,5,Online Services,18
10/01/2015,Easy Online Banking responded quick fast transactions helped me in a case of fraud responded quick responded quick.,5,Online Services,44
10/01/2015,Friendly Staff helpful customer service stable interest rate secure from fraud fast transactions responded quick.,5,Online Services,49
10/01/2015,Waved Fees worried about fraud but worried about fraud but.,5,Online Services,26
10/01/2015,Fast Transactions responded quick easy online banking where i lost my PIN worried about fraud but.,5,Online Services,31
10/01/2015,Wide Range Of Services waved fees where i lost my PIN stable interest rate wide range of services.,5,Online Services,44
10/01/2015,Soo Frustrating!Strange error kept cropping up error kept cropping up long wait times slow transactions additional charges rude customer service.,1,Online Services,36
10/01/2015,"Limited Services what happened to this bank?? what happened to this bank?? lost my details, staff were so unhelpful complicated online banking what happened to this bank??.",1,Online Services,64
10/01/2015,"Long Wait Times to frustrate me not great error lost my details, staff were so unhelpful what happened to this bank??.",1,Online Services,61
10/01/2015,Why!? soo frustrating!strange poor interest rates slow transactions slow transactions what happened to this bank??.,1,Online Services,15
10/01/2015,Why!? long wait times error kept cropping up error kept cropping up bad advice.,1,Online Services,64
10/01/2015,The Worst error kept cropping up additional charges limited services soo frustrating!strange poor interest rates slow transactions.,1,Online Services,24
10/01/2015,To Frustrate Me frustrating additional charges frustrating additional charges.,1,Online Services,43
10/01/2015,Complicated Online Banking poor interest rates what happened to this bank?? to frustrate me what happened to this bank??.,1,Online Services,52
10/01/2015,Complicated Online Banking limited services frustrating soo frustrating!strange what happened to this bank?? additional charges.,1,Online Services,71
10/01/2015,"Why!? additional charges long wait times frustrating complicated to figure out slow transactions to frustrate me lost my details, staff were so unhelpful.",1,Online Services,50
11/01/2015,Insecure high fees bad financial advice rising poor interest rates slow transactions.,1,Mortgage,8
11/01/2015,Where I Lost My Pin responded quick worried about fraud but efficient helped me in a case of fraud wide range of services.,5,Online Services,35
11/01/2015,Worried About Fraud But easy online banking secure from fraud waved fees wide range of services.,5,Online Services,59
11/01/2015,Helped Me In A Case Of Fraud friendly staff easy online banking where i lost my PIN wide range of services worried about fraud but.,5,Online Services,68
11/01/2015,Fast Transactions competitive rates competitive rates competitive rates competitive rates helpful customer service.,5,Online Services,70
11/01/2015,Competitive Rates responded quick helpful customer service fast transactions.,5,Online Services,69
11/01/2015,Where I Lost My Pin worried about fraud but fast transactions easy online banking competitive rates.,5,Online Services,37
11/01/2015,Wide Range Of Services where i lost my PIN helped me in a case of fraud efficient helpful customer service friendly staff helpful customer service helpful customer service.,5,Online Services,39
11/01/2015,Helpful Customer Service competitive rates secure from fraud responded quick efficient where i lost my PIN.,5,Online Services,72
11/01/2015,Worried About Fraud But worried about fraud but responded quick helped me in a case of fraud wide range of services waved fees.,5,Online Services,13
11/01/2015,Wide Range Of Services secure from fraud where i lost my PIN competitive rates where i lost my PIN helped me in a case of fraud.,5,Online Services,63
11/01/2015,Bad Advice not great to frustrate me WHY!? complicated to figure out not great.,1,Online Services,52
11/01/2015,Soo Frustrating!Strange slow transactions soo frustrating!strange error kept cropping up complicated online banking.,1,Online Services,61
11/01/2015,Limited Services error kept cropping up not great error soo frustrating!strange.,1,Online Services,73
11/01/2015,Rude Customer Service frustrating to frustrate me bad advice complicated online banking error additional charges the worst.,1,Online Services,75
11/01/2015,Limited Services error kept cropping up WHY!? what happened to this bank??.,1,Online Services,77
11/01/2015,Soo Frustrating!Strange limited services error limited services.,1,Online Services,32
12/01/2015,Secure From Fraud where i lost my PIN efficient helpful customer service wide range of services competitive rates.,5,Online Services,44
12/01/2015,Waved Fees responded quick fast transactions friendly staff efficient easy online banking helpful customer service efficient.,5,Online Services,50
12/01/2015,Helped Me In A Case Of Fraud helpful customer service secure from fraud responded quick.,5,Online Services,52
12/01/2015,Easy Online Banking efficient worried about fraud but wide range of services.,5,Online Services,34
12/01/2015,Wide Range Of Services where i lost my PIN worried about fraud but worried about fraud but waved fees.,5,Online Services,29
12/01/2015,Stable Interest Rate easy online banking easy online banking responded quick worried about fraud but.,5,Online Services,17
12/01/2015,Secure From Fraud stable interest rate worried about fraud but helped me in a case of fraud fast transactions waved fees worried about fraud but.,5,Online Services,25
12/01/2015,Competitive Rates helped me in a case of fraud where i lost my PIN worried about fraud but fast transactions.,5,Online Services,32
12/01/2015,Where I Lost My Pin easy online banking efficient easy online banking.,5,Online Services,55
12/01/2015,Secure From Fraud waved fees fast transactions.,5,Online Services,31
12/01/2015,Stable Interest Rate waved fees efficient stable interest rate competitive rates.,5,Online Services,55
12/01/2015,Wide Range Of Services fast transactions easy online banking easy online banking wide range of services fast transactions stable interest rate.,5,Online Services,51
12/01/2015,Friendly Staff helped me in a case of fraud friendly staff fast transactions wide range of services competitive rates.,5,Online Services,5
12/01/2015,"Poor Interest Rates frustrating rude customer service lost my details, staff were so unhelpful.",1,Online Services,39
12/01/2015,Error Kept Cropping Up what happened to this bank?? error error error kept cropping up limited services.,1,Online Services,68
12/01/2015,"Rude Customer Service poor interest rates to frustrate me lost my details, staff were so unhelpful error kept cropping up.",1,Online Services,36
12/01/2015,Bad Advice long wait times poor interest rates long wait times rude customer service slow transactions.,1,Online Services,39
12/01/2015,Frustrating complicated online banking rude customer service WHY!? bad advice rude customer service poor interest rates error kept cropping up.,1,Online Services,17
12/01/2015,Not Great complicated to figure out error rude customer service complicated to figure out to frustrate me slow transactions slow transactions.,1,Online Services,12
12/01/2015,Complicated Online Banking the worst limited services bad advice to frustrate me slow transactions.,1,Online Services,49
01/02/2015,Remortgaged Thank you! very good froze the interest rate remortgaged excellent financial advice friendly staff.,5,Mortgage,3
01/02/2015,Poor Interest Rates high fees not great high fees.,1,Mortgage,25
01/02/2015,Additional Charges slow transactions long wait times fees.,1,Mortgage,42
01/02/2015,Wide Range Of Services stable interest rate helped me in a case of fraud helpful customer service.,5,Online Services,51
01/02/2015,Helpful Customer Service responded quick worried about fraud but.,5,Online Services,57
01/02/2015,Friendly Staff where i lost my PIN worried about fraud but competitive rates stable interest rate waved fees.,5,Online Services,18
01/02/2015,Competitive Rates where i lost my PIN friendly staff friendly staff helpful customer service worried about fraud but worried about fraud but.,5,Online Services,13
01/02/2015,Friendly Staff helped me in a case of fraud helpful customer service waved fees where i lost my PIN where i lost my PIN helped me in a case of fraud competitive rates.,5,Online Services,51
01/02/2015,Stable Interest Rate easy online banking competitive rates competitive rates competitive rates easy online banking.,5,Online Services,7
01/02/2015,Helped Me In A Case Of Fraud where i lost my PIN efficient waved fees efficient competitive rates helped me in a case of fraud.,5,Online Services,58
